Sr.no,Title,Description,University,Link
1,EPSRC Centre for Doctoral Training (CDT) in Cyber Security,"Security and privacy of infrastructures that serve our daily lives is critical to society. There is a shortage of expert leaders who understand the cyber security challenges faced by large infrastructures such as smart cities, connected transportation systems, water treatment and distribution systems and power grids.",University of Bath,www.findaphd.com/phds/program/epsrc-centre-for-doctoral-training-cdt-in-cyber-security/?i280p4451
2,EPSRC Centre for Doctoral Training (CDT) in Cyber Security,"Security and privacy of infrastructures that serve our daily lives is critical to society. There is a shortage of expert leaders who understand the cyber security challenges faced by large infrastructures such as smart cities, connected transportation systems, water treatment and distribution systems and power grids.",University of Bristol,www.findaphd.com/phds/program/epsrc-centre-for-doctoral-training-cdt-in-cyber-security/?i287p4451
3,Understanding cyber security risk behaviour of Generation Z,Research has shown that adolescents are more likely to make risky decisions and are more likely to be influenced by peers.,"Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/understanding-cyber-security-risk-behaviour-of-generation-z/?p137913
4,4-Year PhD Programme in Cyber Security for the Everyday,"Ten fully-funded PhD studentships for research in cyber security for the everyday, commencing in September 2019.","Royal Holloway, University of London, EPSRC Centre for Doctoral Training in Cyber Security",www.findaphd.com/phds/program/4-year-phd-programme-in-cyber-security-for-the-everyday/?i207p3771
5,"Design, Implementation and Evaluation of Non-Cooperative Game Theoretic Models for Cyber Security","Cyber security is the assessment of, responding to and monitoring of the security of the cyberspace. It is difficult to pin down to one single scientific discipline, but rather relates to a number of domains and fields such as physical security, network security, security assessment frameworks and the human element.","Kingston University, Faculty of Science, Engineering and Computing",www.findaphd.com/phds/project/design-implementation-and-evaluation-of-non-cooperative-game-theoretic-models-for-cyber-security/?p87937
6,"Cyber Security, Artificial Intelligence, Machine Learning and Blockchain Technology: Mitigating Cyber Attacks and Detecting Malicious Activities in Network Traffic","Cyber attacks have become more widespread and several attacks have made headline news over the past decade, targeting industrial companies and governmental organisations.","University of Bradford, Faculty of Engineering and Informatics",www.findaphd.com/phds/project/cyber-security-artificial-intelligence-machine-learning-and-blockchain-technology-mitigating-cyber-attacks-and-detecting-malicious-activities-in-network-traffic/?p138934
7,Cyber Security: Patching the human vulnerability,The traditional cyber security training and awareness approaches are mostly ineffective in changing employees’ behaviours. These behaviours have proven the human as the weakest link in cyber security.,"University of Chester, Department of Computer Science",www.findaphd.com/phds/project/cyber-security-patching-the-human-vulnerability/?p134080
8,Cyber Security and International Relations: Conceptualising the Threat,This project analyses cyber security threats within the context of International Relations (IR).,"Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/cyber-security-and-international-relations-conceptualising-the-threat/?p138089
9,Cyber Attacks Mitigation: Detecting Malicious Activities in Network Traffic,"Cyber attacks have become more widespread and several attacks have made headline news over the past decade, targeting industrial companies and governmental organizations.","University of Bradford, Faculty of Engineering and Informatics",www.findaphd.com/phds/project/cyber-attacks-mitigation-detecting-malicious-activities-in-network-traffic/?p117732
10,Making Security Sustainable,"Aims. Propose and develop methods that help make security more sustainable. Background. Currently, when we think of sustainability in security today, models such as “planned obsolescence” and “security as a service” may spring to mind.","Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/making-security-sustainable/?p130554
