Sr.no,Title,Description,University,Link
1,Quantifying space weather turbulence and extremes and risk at earth,"Supervisor S. C. Chapman S.C.Chapman@warwick.ac.uk. www.warwick.ac.uk/go/cfsa/people/sandrac. Centre for Fusion, Space and Astrophysics.","University of Warwick, Department of Physics",www.findaphd.com/phds/project/quantifying-space-weather-turbulence-and-extremes-and-risk-at-earth/?p137940
2,Advanced diagnostics for atmospheric and low pressure industrial plasmas,"1 Centre for Plasma Physics, Queen’s University Belfast, Northern Ireland. 2 Impedans Ltd. Chase House, Northern Cross, D17 AK63, Dublin, Ireland.","Queen’s University Belfast, School of Mathematics and Physics",www.findaphd.com/phds/project/advanced-diagnostics-for-atmospheric-and-low-pressure-industrial-plasmas/?p130033
3,Plasma Propulsion for Space Applications,The University of Auckland is conducting research into electric propulsion systems for small spacecraft.,"University of Auckland, Department of Physics",www.findaphd.com/phds/project/plasma-propulsion-for-space-applications/?p123472
4,Novel laser plasma wakefield (LWFA) experiments,Laser-driven plasma wakefield acceleration (LWFA) has been hugely successful in demonstrating high gradient and high energy acceleration of electrons.,"University of Liverpool, Cockcroft Institute",www.findaphd.com/phds/project/novel-laser-plasma-wakefield-lwfa-experiments/?p136973
5,Tailoring plasma chemistry of cold atmospheric-pressure plasmas,"Plasma technologies already form a key part of many of today's multi-billion pound industries such as the nanoscale fabrication of microprocessors, energy efficient lighting, production of solar cells and the deposition of advanced functional coatings.","University of York, Department of Physics",www.findaphd.com/phds/project/tailoring-plasma-chemistry-of-cold-atmospheric-pressure-plasmas/?p136146
6,Network science quantification of space weather at earth,"Research at the Centre for Fusion, Space and Astrophysics (CFSA) focuses on plasma physics applied to the grand challenges of fusion power, space physics, solar physics, and astrophysics.","University of Warwick, Department of Physics",www.findaphd.com/phds/project/network-science-quantification-of-space-weather-at-earth/?p128793
7,Your PhD project: Quantum Control of Electron-Ion Recombination Processes,"Have you ever questioned where the boundary between classical and quantum physics lies, or where the fine line between a molecule and a collection of particles…","Charles University, Faculty of Mathematics and Physics",www.findaphd.com/phds/project/your-phd-project-quantum-control-of-electron-ion-recombination-processes/?p133061
8,Controlling selective formation of free radicals in cold atmospheric-pressure plasmas,"Non-equilibrium plasma technology underpins many high-tech industries such as nanofabrication of computer chips, deposition of advanced functional coatings and production of solar cells.","University of York, Department of Physics",www.findaphd.com/phds/project/controlling-selective-formation-of-free-radicals-in-cold-atmospheric-pressure-plasmas/?p136677
9,Deep learning of ground magnetometer networks for space physics (Advert Reference: RDF22/EE/MPEE/BENTLEY),We seek a student to develop deep learning models of magnetic field changes and investigate processes in Earth’s magnetosphere. There is currently an exciting growth of machine learning methods in space physics; this research will inform future research directions and space weather prediction techniques.,"Northumbria University, Faculty of Engineering and Environment",www.findaphd.com/phds/project/deep-learning-of-ground-magnetometer-networks-for-space-physics-advert-reference-rdf22-ee-mpee-bentley/?p138137
10,"Understanding nonlinear wave-particle interactions in Earths radiation belts to improve space weather modelling. NERC GW4+ DTP PhD studentship for 2022 Entry, PhD in Mathematics",This project is one of a number that are in competition for funding from the NERC Great Western Four+ Doctoral Training Partnership (GW4+ DTP). The…,"University of Exeter, College of Engineering, Mathematics and Physical Sciences",www.findaphd.com/phds/project/understanding-nonlinear-wave-particle-interactions-in-earths-radiation-belts-to-improve-space-weather-modelling-nerc-gw4-dtp-phd-studentship-for-2022-entry-phd-in-mathematics/?p135945
